item_id	item_text	dimension	fit_mean	clarity_mean	fit_iqr	redundancy	decision	reason
IT01	Sento il suo sostegno nelle cose che faccio	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	4.778	4.889	0.0	0.222	Retain	fit_mean≥4 (4.78), IQR≤1 (0.00), clarity≥4 (4.89)
IT02	Mi incoraggia a provare nuove cose	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	4.556	5.0	1.0	0.333	Drop	fit_mean≥4 (4.56), IQR≤1 (1.00), clarity≥4 (5.00); redundant vs IT01
IT03	Mi sento ascoltata e si mostra interessato quando ho qualcosa che voglio condividere.	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	4.778	5.0	0.0	0.667	Drop	redundant by 67% experts; redundant vs IT43
IT04	Capisce che ho bisogno anche di miei spazi personali e comprende che ci sono momenti in cui mi piace stare da sola o con persone diverse da lui (amici, familiari ecc.)	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	5.0	5.0	0.0	0.333	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT05	Mi fa sentire libera di fare le mie scelte su come gestire il mio tempo	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	4.778	4.889	0.0	0.444	Drop	fit_mean≥4 (4.78), IQR≤1 (0.00), clarity≥4 (4.89); redundant vs IT04
IT06	Mi sento al sicuro con lui perché so che mi conosce e mi vuole bene per quella che sono e rispetta le mie scelte	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	5.0	5.0	0.0	0.556	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT07	Sento che possiamo confrontarci e anche litigare senza farci male	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	4.556	4.889	1.0	0.111	Retain	fit_mean≥4 (4.56), IQR≤1 (1.00), clarity≥4 (4.89)
IT08	In sua compagnia mi sento a mio agio e al sicuro	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	4.889	4.778	0.0	0.333	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.78); redundant vs IT06
IT09	I miei amici mi hanno fatto notare che non piace loro come si comporta con me	Preoccupazione Esterna e Feedback Sociale	4.556	4.889	1.0	0.333	Drop	fit_mean≥4 (4.56), IQR≤1 (1.00), clarity≥4 (4.89); redundant vs IT18
IT10	Parla male delle mie amiche e dice che sono delle “poco di buono”. Mi chiede di non vederle	Controllo, Possessività e Isolamento Sociale	4.444	4.889	1.0	0.444	Drop	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (4.89); redundant vs IT24
IT11	Dice che sono impegnata in troppe cose e che lo trascuro, vorrebbe che passassimo la maggior parte del tempo insieme	Controllo, Possessività e Isolamento Sociale	3.889	4.667	0.0	0.222	Retain	fallback to majority recommendation
IT12	Mi sento giudicata rispetto alle cose che faccio e come organizzo la mia vita	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	4.0	4.444	0.0	0.444	Retain	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.44)
IT13	Quando faccio qualcosa che a lui non va bene poi non mi parla per giorni	Manipolazione Emotiva, Gaslighting e Incertezza	4.333	4.667	1.0	0.0	Retain	fit_mean≥4 (4.33), IQR≤1 (1.00), clarity≥4 (4.67)
IT14	Sento che mi manda troppi messaggi o mi chiama spesso, a volte in modo insistente	Controllo, Possessività e Isolamento Sociale	4.444	5.0	1.0	0.333	Drop	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (5.00); redundant vs IT24
IT15	Non mi fa sentire bene quando parla di come mi prendo cura di me stessa e del mio aspetto fisico	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	3.889	4.222	0.0	0.111	Retain	fallback to majority recommendation
IT17	A volte sento disagio o non voglio fare qualcosa ma lo nascondo per paura che si arrabbi	Manipolazione Emotiva, Gaslighting e Incertezza	4.0	4.667	0.0	0.0	Drop	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.67); redundant vs IT27
IT18	Le mie amiche o la mia famiglia sono preoccupate per me	Preoccupazione Esterna e Feedback Sociale	5.0	4.889	0.0	0.222	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
IT19	Pretende prove d'amore e dimostrazioni di fedeltà nei suoi confronti	Controllo, Possessività e Isolamento Sociale	3.889	4.667	0.0	0.222	Drop	fallback to majority recommendation; redundant vs IT20
IT20	Diventa estremamente geloso/ o possessivo/a	Controllo, Possessività e Isolamento Sociale	4.556	5.0	1.0	0.222	Retain	fit_mean≥4 (4.56), IQR≤1 (1.00), clarity≥4 (5.00)
IT21	Mi accusa di flirtare o di tradirlo/a	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	3.444	4.444	1.0	0.0	Drop	fit_mean=3.44 < 3.5
IT22	Mi sento costantemente controllata, ho la sensazione che non si fidi di me e che voglia sapere sempre dove sono e co chi, me lo chiede continuamente	Controllo, Possessività e Isolamento Sociale	5.0	4.889	0.0	0.667	Drop	redundant by 67% experts; redundant vs IT24
IT23	Non mi sento libera di vestirmi come voglio	Controllo, Possessività e Isolamento Sociale	4.222	5.0	0.0	0.0	Retain	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (5.00)
IT24	Cerca di controllare ciò che faccio e con chi mi vedo	Controllo, Possessività e Isolamento Sociale	5.0	5.0	0.0	0.444	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT25	Non vuole che io veda la mia famiglia, le mie amiche o i miei amici. Mi dice che è lui adesso la mia famiglia, che loro cercano di separarci	Controllo, Possessività e Isolamento Sociale	5.0	4.889	0.0	0.333	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89); redundant vs IT24
IT26	Ha forti oscillazioni d'umore, il minuto prima si arrabbia e mi urla contro e quello successivo è dolce e si scusa	Manipolazione Emotiva, Gaslighting e Incertezza	4.667	4.889	1.0	0.0	Retain	fit_mean≥4 (4.67), IQR≤1 (1.00), clarity≥4 (4.89)
