item_id	item_text	dimension	fit_mean	clarity_mean	fit_iqr	decision	reason
IT01	Sento il suo sostegno nelle cose che faccio	Healthy Relationship Dynamics	4.636	4.909	1.0	Retain	fit_mean≥4 (4.64), IQR≤1 (1.00), clarity≥4 (4.91)
IT02	Mi incoraggia a provare nuove cose	Healthy Relationship Dynamics	4.455	5.0	1.0	Drop	fit_mean≥4 (4.45), IQR≤1 (1.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT01
IT03	Mi sento ascoltata e si mostra interessato quando ho qualcosa che voglio condividere	Healthy Relationship Dynamics	4.818	5.0	0.0	Retain	fit_mean≥4 (4.82), IQR≤1 (0.00), clarity≥4 (5.00)
IT04	Capisce che ho bisogno anche di miei spazi personali e comprende che ci sono momenti in cui mi piace stare da sola o con persone diverse da lui (amici/amiche, familiari ecc.)	Healthy Relationship Dynamics	5.0	4.364	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.36)
IT05	Mi fa sentire libera di fare le mie scelte su come gestire il mio tempo	Healthy Relationship Dynamics	4.727	4.818	0.5	Drop	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (4.82); pairwise redundancy ≥0.50 vs IT04
IT06	Mi vuole bene per quella che sono e rispetta le mie scelte	Healthy Relationship Dynamics	4.909	4.636	0.0	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (4.64)
IT07	Sento che possiamo confrontarci e anche litigare senza farci male	Healthy Relationship Dynamics	4.909	4.727	0.0	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (4.73)
IT08	In sua compagnia mi sento a mio agio e al sicuro	Healthy Relationship Dynamics	5.0	5.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT09	I miei amici/amiche mi hanno fatto notare che non piace loro come si comporta con me	External Warning Signs & Social Validation	4.636	5.0	1.0	Retain	fit_mean≥4 (4.64), IQR≤1 (1.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT19; undropped (strong) for coverage safeguard
IT10	Parla male delle mie amici/amiche e dice che sono dei/delle “poco di buono”	Coercive Control & Social Isolation	4.273	4.909	0.5	Retain	fit_mean≥4 (4.27), IQR≤1 (0.50), clarity≥4 (4.91)
