item_id	dimension	fit_mean	clarity_mean	decision	reason	net_degree	net_neighbors	net_neighbor_ratios	net_max_overlap	net_drop_partner	net_drop_ratio	net_threshold	net_denom_mode
IT12	Coercive Control & Monitoring	3.917	4.167	Retain	fallback to majority recommendation	1	IT25	IT25:0.50	0.5			0.5	max
IT15	Coercive Control & Monitoring	4.083	4.583	Drop	fit_mean≥4 (4.08), IQR≤1 (0.00), clarity≥4 (4.58); pairwise redundancy ≥0.50 vs IT23	1	IT23	IT23:0.67	0.667			0.5	max
IT18	Coercive Control & Monitoring	3.75	4.333	Drop	fallback to majority recommendation; pairwise redundancy ≥0.50 vs IT28	1	IT28	IT28:0.92	0.917			0.5	max
IT20	Coercive Control & Monitoring	3.583	4.25	Retain	fallback to majority recommendation	0			0.0			0.5	max
IT23	Coercive Control & Monitoring	5.0	4.5	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.50)	2	IT15,IT25	IT15:0.67|IT25:1.83	1.833			0.5	max
IT24	Coercive Control & Monitoring	4.333	5.0	Retain	fit_mean≥4 (4.33), IQR≤1 (1.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT25	Coercive Control & Monitoring	4.833	5.0	Drop	fit_mean≥4 (4.83), IQR≤1 (0.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT23	2	IT12,IT23	IT12:0.50|IT23:1.83	1.833			0.5	max
IT28	Coercive Control & Monitoring	4.333	4.25	Revise	fit_IQR=1.25 > 1.0	1	IT18	IT18:0.92	0.917			0.5	max
IT13	Emotional & Psychological Abuse	4.0	4.556	Drop	fit_mean≥4 (4.00), IQR≤1 (0.00), clarity≥4 (4.56); pairwise redundancy ≥0.50 vs IT16	1	IT16	IT16:0.67	0.667			0.5	max
IT14	Emotional & Psychological Abuse	4.222	4.778	Retain	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (4.78)	0			0.0			0.5	max
IT16	Emotional & Psychological Abuse	4.222	4.778	Retain	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (4.78)	1	IT13	IT13:0.67	0.667			0.5	max
IT27	Emotional & Psychological Abuse	4.556	4.667	Retain	fit_mean≥4 (4.56), IQR≤1 (1.00), clarity≥4 (4.67)	0			0.0			0.5	max
IT29	Emotional & Psychological Abuse	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	3	IT30,IT31,IT41	IT30:0.67|IT31:1.11|IT41:0.56	1.111			0.5	max
IT30	Emotional & Psychological Abuse	5.0	4.889	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT29	2	IT29,IT31	IT29:0.67|IT31:0.89	0.889			0.5	max
IT31	Emotional & Psychological Abuse	5.0	5.0	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00); pairwise redundancy ≥0.50 vs IT29	2	IT29,IT30	IT29:1.11|IT30:0.89	1.111			0.5	max
IT39	Emotional & Psychological Abuse	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT41	Emotional & Psychological Abuse	4.556	4.889	Drop	fit_mean≥4 (4.56), IQR≤1 (1.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT29	1	IT29	IT29:0.56	0.556			0.5	max
IT01	Healthy Relationship Indicators	4.333	4.889	Retain	fit_mean≥4 (4.33), IQR≤1 (1.00), clarity≥4 (4.89)	0			0.0			0.5	max
IT02	Healthy Relationship Indicators	4.444	4.889	Retain	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (4.89)	0			0.0			0.5	max
IT03	Healthy Relationship Indicators	4.889	4.889	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.89); pairwise redundancy ≥0.50 vs IT44	1	IT44	IT44:1.11	1.111			0.5	max
